IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,25,0,0,0.0,0.0,18.0,25.0,0.72
change_case_english_capital,1,25,25,25,1.0,1.0,14.0,25.0,0.56
change_case_english_capital,2,25,25,25,1.0,1.0,16.0,25.0,0.64
change_case_english_capital,3,25,25,25,1.0,1.0,14.0,25.0,0.56
change_case_english_capital,4,25,25,25,1.0,1.0,15.0,25.0,0.6
change_case_english_capital,5,25,25,25,1.0,1.0,16.0,25.0,0.64
change_case_english_capital,6,25,25,25,1.0,1.0,15.0,25.0,0.6
change_case_english_capital,7,25,25,25,1.0,1.0,16.0,25.0,0.64
change_case_english_capital,8,25,25,25,1.0,1.0,16.0,25.0,0.64
change_case_english_lowercase,0,25,6,6,0.24,0.24,12.0,25.0,0.48
change_case_english_lowercase,1,25,25,25,1.0,1.0,14.0,25.0,0.56
change_case_english_lowercase,2,25,25,25,1.0,1.0,16.0,25.0,0.64
change_case_english_lowercase,3,25,25,25,1.0,1.0,16.0,25.0,0.64
change_case_english_lowercase,4,25,25,25,1.0,1.0,16.0,25.0,0.64
change_case_english_lowercase,5,25,25,25,1.0,1.0,18.0,25.0,0.72
change_case_english_lowercase,6,25,25,25,1.0,1.0,17.0,25.0,0.68
change_case_english_lowercase,7,25,25,25,1.0,1.0,18.0,25.0,0.72
change_case_english_lowercase,8,25,25,25,1.0,1.0,17.0,25.0,0.68
combination_repeat_prompt,0,25,0,0,0.0,0.0,16.0,25.0,0.64
combination_repeat_prompt,1,25,7,7,0.28,0.28,14.0,25.0,0.56
combination_repeat_prompt,2,25,7,7,0.28,0.28,14.0,25.0,0.56
combination_repeat_prompt,3,25,6,6,0.24,0.24,15.0,25.0,0.6
combination_repeat_prompt,4,25,5,5,0.2,0.2,13.0,25.0,0.52
combination_repeat_prompt,5,25,6,6,0.24,0.24,15.0,25.0,0.6
combination_repeat_prompt,6,25,7,7,0.28,0.28,17.0,25.0,0.68
combination_repeat_prompt,7,25,6,6,0.24,0.24,14.0,25.0,0.56
combination_repeat_prompt,8,25,6,6,0.24,0.24,14.0,25.0,0.56
detectable_format_json_format,0,50,0,0,0.0,0.0,32.0,50.0,0.64
detectable_format_json_format,1,50,50,50,1.0,1.0,31.0,50.0,0.62
detectable_format_json_format,2,50,50,50,1.0,1.0,33.0,50.0,0.66
detectable_format_json_format,3,50,50,50,1.0,1.0,32.0,50.0,0.64
detectable_format_json_format,4,50,50,50,1.0,1.0,34.0,50.0,0.68
detectable_format_json_format,5,50,50,50,1.0,1.0,32.0,50.0,0.64
detectable_format_json_format,6,50,50,50,1.0,1.0,31.0,50.0,0.62
detectable_format_json_format,7,50,50,50,1.0,1.0,32.0,50.0,0.64
detectable_format_json_format,8,50,50,50,1.0,1.0,32.0,50.0,0.64
detectable_format_title,0,25,0,0,0.0,0.0,19.0,25.0,0.76
detectable_format_title,1,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,2,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,3,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,4,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,5,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,6,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,7,25,25,25,1.0,1.0,0.0,25.0,0.0
detectable_format_title,8,25,25,25,1.0,1.0,0.0,25.0,0.0
startend_end_checker,0,25,0,0,0.0,0.0,17.0,25.0,0.68
startend_end_checker,1,25,7,7,0.28,0.28,14.0,25.0,0.56
startend_end_checker,2,25,13,13,0.52,0.52,16.0,25.0,0.64
startend_end_checker,3,25,15,15,0.6,0.6,17.0,25.0,0.68
startend_end_checker,4,25,9,9,0.36,0.36,15.0,25.0,0.6
startend_end_checker,5,25,13,13,0.52,0.52,15.0,25.0,0.6
startend_end_checker,6,25,14,14,0.56,0.56,15.0,25.0,0.6
startend_end_checker,7,25,12,12,0.48,0.48,15.0,25.0,0.6
startend_end_checker,8,25,15,15,0.6,0.6,17.0,25.0,0.68
startend_quotation,0,25,0,0,0.0,0.0,10.0,25.0,0.4
startend_quotation,1,25,25,25,1.0,1.0,12.0,25.0,0.48
startend_quotation,2,25,25,25,1.0,1.0,13.0,25.0,0.52
startend_quotation,3,25,25,25,1.0,1.0,16.0,25.0,0.64
startend_quotation,4,25,25,25,1.0,1.0,15.0,25.0,0.6
startend_quotation,5,25,25,25,1.0,1.0,17.0,25.0,0.68
startend_quotation,6,25,25,25,1.0,1.0,14.0,25.0,0.56
startend_quotation,7,25,25,25,1.0,1.0,14.0,25.0,0.56
startend_quotation,8,25,25,25,1.0,1.0,16.0,25.0,0.64
