IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,25,0.0,0.0,0.03394642596560755
change_case_english_capital,1,25,0.4,0.4,0.04244582083597017
change_case_english_capital,2,25,0.76,0.76,0.03906664987615404
change_case_english_capital,3,25,0.92,0.92,0.03365209436692813
change_case_english_capital,4,25,0.96,0.96,0.040521102412406765
change_case_english_capital,5,25,1.0,1.0,0.035759197650502
change_case_english_capital,6,25,1.0,1.0,0.03542338611903829
change_case_english_capital,7,25,0.96,0.96,0.04781398352881729
change_case_english_capital,8,25,0.96,0.96,0.04715138544686437
change_case_english_lowercase,0,25,0.0,0.0,0.04987420151600694
change_case_english_lowercase,1,25,0.08,0.08,0.04959109324782406
change_case_english_lowercase,2,25,0.04,0.04,0.04458773747765529
change_case_english_lowercase,3,25,0.12,0.12,0.05770033694530305
change_case_english_lowercase,4,25,0.0,0.0,0.06225526324035226
change_case_english_lowercase,5,25,0.0,0.0,0.054160139866051005
change_case_english_lowercase,6,25,0.04,0.04,0.06823880386130848
change_case_english_lowercase,7,25,0.08,0.08,0.06053928488261164
change_case_english_lowercase,8,25,0.04,0.04,0.049055073711804516
combination_repeat_prompt,0,25,0.0,0.0,0.05136818736818736
combination_repeat_prompt,1,25,0.08,0.08,0.06228977705669434
combination_repeat_prompt,2,25,0.32,0.32,0.31205958491714264
combination_repeat_prompt,3,25,0.36,0.36,0.3097897912187775
combination_repeat_prompt,4,25,0.44,0.44,0.2662901075417539
combination_repeat_prompt,5,25,0.44,0.44,0.2561117866836301
combination_repeat_prompt,6,25,0.36,0.36,0.30810556192863686
combination_repeat_prompt,7,25,0.48,0.48,0.2663452992028569
combination_repeat_prompt,8,25,0.48,0.48,0.25332035589219937
detectable_format_json_format,0,50,0.0,0.0,0.04152852938195994
detectable_format_json_format,1,50,1.0,1.0,0.050162339152458435
detectable_format_json_format,2,50,1.0,1.0,0.04103082602711372
detectable_format_json_format,3,50,1.0,1.0,0.044213321247424074
detectable_format_json_format,4,50,1.0,1.0,0.04068388110257181
detectable_format_json_format,5,50,1.0,1.0,0.04107770529891701
detectable_format_json_format,6,50,1.0,1.0,0.04200016931998643
detectable_format_json_format,7,50,1.0,1.0,0.038332807339733335
detectable_format_json_format,8,50,1.0,1.0,0.0396494673370656
detectable_format_title,0,25,0.0,0.0,0.05839056171453352
detectable_format_title,1,25,0.72,0.72,0.7038864511909108
detectable_format_title,2,25,1.0,1.0,1.0
detectable_format_title,3,25,0.96,0.96,1.0
detectable_format_title,4,25,1.0,1.0,1.0
detectable_format_title,5,25,1.0,1.0,1.0
detectable_format_title,6,25,1.0,1.0,1.0
detectable_format_title,7,25,1.0,1.0,1.0
detectable_format_title,8,25,1.0,1.0,1.0
startend_end_checker,0,25,0.0,0.0,0.06885391351943076
startend_end_checker,1,25,0.12,0.12,0.12992700666473486
startend_end_checker,2,25,0.2,0.2,0.08454280240831964
startend_end_checker,3,25,0.2,0.2,0.06636502463054188
startend_end_checker,4,25,0.32,0.32,0.06654280240831964
startend_end_checker,5,25,0.2,0.2,0.06683561286583599
startend_end_checker,6,25,0.4,0.4,0.08042851669403393
startend_end_checker,7,25,0.36,0.36,0.06966124318792984
startend_end_checker,8,25,0.28,0.28,0.0890731478798416
startend_quotation,0,25,0.0,0.0,0.02805468215994532
startend_quotation,1,25,0.92,0.92,0.03405468215994532
startend_quotation,2,25,0.96,0.96,0.047873143268729004
startend_quotation,3,25,1.0,1.0,0.03929414445203919
startend_quotation,4,25,1.0,1.0,0.04809825149383723
startend_quotation,5,25,1.0,1.0,0.02995944406470722
startend_quotation,6,25,1.0,1.0,0.04294645705172021
startend_quotation,7,25,1.0,1.0,0.053340396445659605
startend_quotation,8,25,1.0,1.0,0.04144890084448658
